Decile,Sample,Value
5,s_C_C15KVL_N001_d,194
6,s_C_C15KVL_N001_d,216
7,s_C_C15KVL_N001_d,241
8,s_C_C15KVL_N001_d,269
9,s_C_C15KVL_N001_d,304
10,s_C_C15KVL_N001_d,357
11,s_C_C15KVL_N001_d,815
1,s_C_AN6LCV_N001_d,2
2,s_C_AN6LCV_N001_d,139
3,s_C_AN6LCV_N001_d,168
4,s_C_AN6LCV_N001_d,194
5,s_C_AN6LCV_N001_d,219
6,s_C_AN6LCV_N001_d,246
7,s_C_AN6LCV_N001_d,275
8,s_C_AN6LCV_N001_d,308
9,s_C_AN6LCV_N001_d,350
10,s_C_AN6LCV_N001_d,413
11,s_C_AN6LCV_N001_d,966
1,s_C_89HMNL_N001_d,2
2,s_C_89HMNL_N001_d,165
3,s_C_89HMNL_N001_d,212
4,s_C_89HMNL_N001_d,253
5,s_C_89HMNL_N001_d,291
6,s_C_89HMNL_N001_d,331
7,s_C_89HMNL_N001_d,374
8,s_C_89HMNL_N001_d,422
9,s_C_89HMNL_N001_d,482
10,s_C_89HMNL_N001_d,570
11,s_C_89HMNL_N001_d,1400
1,s_C_AFN6CD_N002_d,2
2,s_C_AFN6CD_N002_d,134
3,s_C_AFN6CD_N002_d,158
4,s_C_AFN6CD_N002_d,181
5,s_C_AFN6CD_N002_d,203
6,s_C_AFN6CD_N002_d,227
7,s_C_AFN6CD_N002_d,253
8,s_C_AFN6CD_N002_d,284
9,s_C_AFN6CD_N002_d,323
10,s_C_AFN6CD_N002_d,386
11,s_C_AFN6CD_N002_d,867
1,s_C_6J9XA7_N001_d,2
2,s_C_6J9XA7_N001_d,132
3,s_C_6J9XA7_N001_d,157
4,s_C_6J9XA7_N001_d,179
5,s_C_6J9XA7_N001_d,201
6,s_C_6J9XA7_N001_d,224
7,s_C_6J9XA7_N001_d,249
8,s_C_6J9XA7_N001_d,279
9,s_C_6J9XA7_N001_d,316
10,s_C_6J9XA7_N001_d,371
11,s_C_6J9XA7_N001_d,844
1,s_C_NDFA1A_N001_d,2
2,s_C_NDFA1A_N001_d,70
3,s_C_NDFA1A_N001_d,87
4,s_C_NDFA1A_N001_d,100
5,s_C_NDFA1A_N001_d,112
6,s_C_NDFA1A_N001_d,123
7,s_C_NDFA1A_N001_d,136
8,s_C_NDFA1A_N001_d,150
9,s_C_NDFA1A_N001_d,168
10,s_C_NDFA1A_N001_d,196
11,s_C_NDFA1A_N001_d,444
1,s_C_67KC4V_N001_d,2
2,s_C_67KC4V_N001_d,63
3,s_C_67KC4V_N001_d,77
4,s_C_67KC4V_N001_d,89
5,s_C_67KC4V_N001_d,100
6,s_C_67KC4V_N001_d,112
7,s_C_67KC4V_N001_d,125
8,s_C_67KC4V_N001_d,141
9,s_C_67KC4V_N001_d,160
10,s_C_67KC4V_N001_d,191
11,s_C_67KC4V_N001_d,442
1,s_C_D86FFD_N001_d,2
2,s_C_D86FFD_N001_d,135
3,s_C_D86FFD_N001_d,159
4,s_C_D86FFD_N001_d,182
5,s_C_D86FFD_N001_d,204
6,s_C_D86FFD_N001_d,228
7,s_C_D86FFD_N001_d,253
8,s_C_D86FFD_N001_d,283
9,s_C_D86FFD_N001_d,320
10,s_C_D86FFD_N001_d,376
11,s_C_D86FFD_N001_d,857
1,s_C_M2L33T_N001_d,2
2,s_C_M2L33T_N001_d,129
3,s_C_M2L33T_N001_d,152
4,s_C_M2L33T_N001_d,173
5,s_C_M2L33T_N001_d,194
6,s_C_M2L33T_N001_d,216
7,s_C_M2L33T_N001_d,240
8,s_C_M2L33T_N001_d,268
9,s_C_M2L33T_N001_d,303
10,s_C_M2L33T_N001_d,356
11,s_C_M2L33T_N001_d,806
1,s_C_7KNWJW_N001_d,2
2,s_C_7KNWJW_N001_d,83
3,s_C_7KNWJW_N001_d,100
4,s_C_7KNWJW_N001_d,115
5,s_C_7KNWJW_N001_d,129
